Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Positive Regulation of Bone Resorption (GO:0045780)	1/11	0.010947779702855981	0.07758236113250849	0	0	105.10526315789474	474.5101770765117	PRKCA
Positive Regulation of Response to External Stimulus (GO:0032103)	2/163	0.01139130071473313	0.07758236113250849	0	0	13.677708764665287	61.2064515808089	RARRES2;PRKCA
Vascular Endothelial Cell Response to Fluid Shear Stress (GO:0097699)	1/12	0.011937370540334344	0.07758236113250849	0	0	95.54545454545455	423.0830518492731	PRKCA
Regulation of Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0106070)	1/12	0.011937370540334344	0.07758236113250849	0	0	95.54545454545455	423.0830518492731	PRKCA
Positive Regulation of Sterol Biosynthetic Process (GO:0106120)	1/12	0.011937370540334344	0.07758236113250849	0	0	95.54545454545455	423.0830518492731	PRKCA
Antifungal Humoral Response (GO:0019732)	1/12	0.011937370540334344	0.07758236113250849	0	0	95.54545454545455	423.0830518492731	RARRES2
Positive Regulation of Cholesterol Biosynthetic Process (GO:0045542)	1/12	0.011937370540334344	0.07758236113250849	0	0	95.54545454545455	423.0830518492731	PRKCA
Sperm DNA Condensation (GO:0035092)	1/12	0.011937370540334344	0.07758236113250849	0	0	95.54545454545455	423.0830518492731	PIWIL1
Branching Involved in Blood Vessel Morphogenesis (GO:0001569)	1/12	0.011937370540334344	0.07758236113250849	0	0	95.54545454545455	423.0830518492731	NOTCH4
Regulation of Homotypic Cell-Cell Adhesion (GO:0034110)	1/13	0.01292602095289387	0.07758236113250849	0	0	87.57894736842105	380.83817987374294	PRKCA
Regulation of Endocytic Recycling (GO:2001135)	1/14	0.013913731760820029	0.07758236113250849	0	0	80.83805668016194	345.57291333057793	ATP9A
Cell Communication by Electrical Coupling Involved in Cardiac Conduction (GO:0086064)	1/14	0.013913731760820029	0.07758236113250849	0	0	80.83805668016194	345.57291333057793	PRKCA
Positive Regulation of Macrophage Chemotaxis (GO:0010759)	1/14	0.013913731760820029	0.07758236113250849	0	0	80.83805668016194	345.57291333057793	RARRES2
Regulation of Mitochondrial Fusion (GO:0010635)	1/14	0.013913731760820029	0.07758236113250849	0	0	80.83805668016194	345.57291333057793	YME1L1
Intracellular Potassium Ion Homeostasis (GO:0030007)	1/14	0.013913731760820029	0.07758236113250849	0	0	80.83805668016194	345.57291333057793	PRKCA
Negative Regulation of Epithelial Cell Differentiation (GO:0030857)	1/15	0.014900503788898576	0.07758236113250849	0	0	75.06015037593986	315.7300332957057	NOTCH4
Renal Water Homeostasis (GO:0003091)	1/15	0.014900503788898576	0.07758236113250849	0	0	75.06015037593986	315.7300332957057	PRKCA
Cellular Response to Laminar Fluid Shear Stress (GO:0071499)	1/16	0.015886337864689626	0.07758236113250849	0	0	70.05263157894737	290.1787210723924	PRKCA
Regulation of Macrophage Differentiation (GO:0045649)	1/16	0.015886337864689626	0.07758236113250849	0	0	70.05263157894737	290.1787210723924	PRKCA
Antifungal Innate Immune Response (GO:0061760)	1/16	0.015886337864689626	0.07758236113250849	0	0	70.05263157894737	290.1787210723924	RARRES2
Spermatid Nucleus Differentiation (GO:0007289)	1/16	0.015886337864689626	0.07758236113250849	0	0	70.05263157894737	290.1787210723924	PIWIL1
Positive Regulation of Cholesterol Metabolic Process (GO:0090205)	1/17	0.016871234817272356	0.07758236113250849	0	0	65.67105263157895	268.0787715603985	PRKCA
Reg of Cardiac Muscle Contraction by Reg of the Release of Sequestered Calcium Ion (GO:0010881)	1/17	0.016871234817272356	0.07758236113250849	0	0	65.67105263157895	268.0787715603985	PRKCA
Regulation of Cell Differentiation (GO:0045595)	2/201	0.016953582060231374	0.07758236113250849	0	0	11.04466778336125	45.032160388623055	NOTCH4;PRKCA
Regulation of Cytoplasmic Pattern Recognition Receptor Signaling Pathway (GO:0039531)	1/18	0.017855195476470426	0.07758236113250849	0	0	61.804953560371516	248.79341471282055	BTK
Regulation of Exosomal Secretion (GO:1903541)	1/18	0.017855195476470426	0.07758236113250849	0	0	61.804953560371516	248.79341471282055	ATP9A
Transposable Element Silencing by Heterochromatin Formation (GO:0141005)	1/18	0.017855195476470426	0.07758236113250849	0	0	61.804953560371516	248.79341471282055	PIWIL1
Positive Regulation of Muscle Cell Differentiation (GO:0051149)	1/18	0.017855195476470426	0.07758236113250849	0	0	61.804953560371516	248.79341471282055	NOTCH4
Positive Regulation of Muscle Hypertrophy (GO:0014742)	1/18	0.017855195476470426	0.07758236113250849	0	0	61.804953560371516	248.79341471282055	PRKCA
Regulation of Bicellular Tight Junction Assembly (GO:2000810)	1/18	0.017855195476470426	0.07758236113250849	0	0	61.804953560371516	248.79341471282055	PRKCA
Mesoderm Development (GO:0007498)	1/19	0.018838220672014273	0.07758236113250849	0	0	58.36842105263158	231.83163218032678	BTK
piRNA Processing (GO:0034587)	1/19	0.018838220672014273	0.07758236113250849	0	0	58.36842105263158	231.83163218032678	PIWIL1
Vasculature Development (GO:0001944)	1/19	0.018838220672014273	0.07758236113250849	0	0	58.36842105263158	231.83163218032678	NOTCH4
Positive Regulation of Alcohol Biosynthetic Process (GO:1902932)	1/19	0.018838220672014273	0.07758236113250849	0	0	58.36842105263158	231.83163218032678	PRKCA
Embryonic Digestive Tract Development (GO:0048566)	1/19	0.018838220672014273	0.07758236113250849	0	0	58.36842105263158	231.83163218032678	RARRES2
Positive Regulation of Macrophage Migration (GO:1905523)	1/20	0.019820311238232097	0.07758236113250849	0	0	55.29362880886426	216.80897525048422	RARRES2
Regulation of Granulocyte Chemotaxis (GO:0071622)	1/20	0.019820311238232097	0.07758236113250849	0	0	55.29362880886426	216.80897525048422	RARRES2
Multicellular Organismal-Level Water Homeostasis (GO:0050891)	1/20	0.019820311238232097	0.07758236113250849	0	0	55.29362880886426	216.80897525048422	PRKCA
Positive Regulation of Cardiac Muscle Hypertrophy (GO:0010613)	1/20	0.019820311238232097	0.07758236113250849	0	0	55.29362880886426	216.80897525048422	PRKCA
Regulation of Cardiac Conduction (GO:1903779)	1/20	0.019820311238232097	0.07758236113250849	0	0	55.29362880886426	216.80897525048422	PRKCA
Regulation of Cell-Cell Adhesion Mediated by Cadherin (GO:2000047)	1/20	0.019820311238232097	0.07758236113250849	0	0	55.29362880886426	216.80897525048422	NOTCH4
Regulation of Macrophage Chemotaxis (GO:0010758)	1/21	0.020801468010995312	0.07967524723890594	0	0	52.526315789473685	203.4203291515269	RARRES2
Mammary Gland Development (GO:0030879)	1/22	0.02178169181492411	0.07967524723890594	0	0	50.02255639097744	191.42059056605152	NOTCH4
Anterior/Posterior Axis Specification (GO:0009948)	1/22	0.02178169181492411	0.07967524723890594	0	0	50.02255639097744	191.42059056605152	LEFTY2
Regulation of Cardiac Muscle Contraction by Calcium Ion Signaling (GO:0010882)	1/22	0.02178169181492411	0.07967524723890594	0	0	50.02255639097744	191.42059056605152	PRKCA
Negative Regulation of Interleukin-2 Production (GO:0032703)	1/23	0.02276098349039011	0.07967524723890594	0	0	47.74641148325359	180.61070687273846	PRKCA
Regulation of Cholesterol Biosynthetic Process (GO:0045540)	1/23	0.02276098349039011	0.07967524723890594	0	0	47.74641148325359	180.61070687273846	PRKCA
Regulation of Release of Sequestered Calcium Ion Into Cytosol by Sarcoplasmic Reticulum (GO:0010880)	1/24	0.023739343866497245	0.07967524723890594	0	0	45.66819221967963	170.827422984315	PRKCA
Regulation of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031664)	1/24	0.023739343866497245	0.07967524723890594	0	0	45.66819221967963	170.827422984315	PRKCA
Positive Regulation of NLRP3 Inflammasome Complex Assembly (GO:1900227)	1/24	0.023739343866497245	0.07967524723890594	0	0	45.66819221967963	170.827422984315	BTK
Potassium Ion Homeostasis (GO:0055075)	1/24	0.023739343866497245	0.07967524723890594	0	0	45.66819221967963	170.827422984315	PRKCA
Positive Regulation of Inflammasome-Mediated Signaling Pathway (GO:0141087)	1/25	0.02471677377849272	0.07967524723890594	0	0	43.76315789473684	161.93563879493826	BTK
Cell Surface Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178)	1/25	0.02471677377849272	0.07967524723890594	0	0	43.76315789473684	161.93563879493826	AMHR2
Regulation of Cardiac Muscle Hypertrophy (GO:0010611)	1/25	0.02471677377849272	0.07967524723890594	0	0	43.76315789473684	161.93563879493826	PRKCA
