Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Diseases Associated With the TLR Signaling Cascade	1/35	0.03444008042248791	0.10263143965901397	0	0	30.876160990712073	104.00740624656505	BTK
Diseases of Immune System	1/35	0.03444008042248791	0.10263143965901397	0	0	30.876160990712073	104.00740624656505	BTK
CaM Pathway	1/35	0.03444008042248791	0.10263143965901397	0	0	30.876160990712073	104.00740624656505	PRKCA
Calmodulin Induced Events	1/35	0.03444008042248791	0.10263143965901397	0	0	30.876160990712073	104.00740624656505	PRKCA
RHO GTPases Activate WASPs and WAVEs	1/36	0.0354073301248565	0.10344494487458075	0	0	29.992481203007518	100.19997336732251	BTK
Ca-dependent Events	1/37	0.03637365932928062	0.10422452384736178	0	0	29.157894736842106	96.62665093408293	PRKCA
RET Signaling	1/41	0.040229787776673645	0.10898615234044315	0	0	26.236842105263158	84.30284540999916	PRKCA
DAG and IP3 Signaling	1/41	0.040229787776673645	0.10898615234044315	0	0	26.236842105263158	84.30284540999916	PRKCA
Signaling by Retinoic Acid	1/41	0.040229787776673645	0.10898615234044315	0	0	26.236842105263158	84.30284540999916	PDK1
Signaling by SCF-KIT	1/43	0.042152350529806835	0.11215536123109318	0	0	24.984962406015036	79.11400474395023	PRKCA
Negative Regulation of NOTCH4 Signaling	1/44	0.04311225942960537	0.11269695885984563	0	0	24.402692778457773	76.72079424655034	NOTCH4
DAP12 Interactions	1/45	0.044071254437806	0.11321753295229472	0	0	23.84688995215311	74.44873932423765	BTK
G Alpha (Z) Signalling Events	1/48	0.046942764384003306	0.11699702784169282	0	0	22.32138857782755	68.27724816722397	PRKCA
Pyruvate Metabolism	1/49	0.04789811206941787	0.11699702784169282	0	0	21.855263157894736	66.41113333547993	PDK1
PLC Beta Mediated Events	1/49	0.04789811206941787	0.11699702784169282	0	0	21.855263157894736	66.41113333547993	PRKCA
Signaling by ERBB2	1/50	0.04885254998202776	0.1174037088277764	0	0	21.408163265306122	64.63014669364038	PRKCA
Nuclear Envelope Breakdown	1/53	0.05171041322818909	0.12229923128571706	0	0	20.170040485829958	59.74559828701417	PRKCA
G-protein Mediated Events	1/54	0.05266122021570595	0.12260190331469041	0	0	19.788480635551142	58.25483230121243	PRKCA
Ion Transport by P-type ATPases	1/55	0.053611121517600016	0.12289318624803695	0	0	19.42105263157895	56.82597555721978	ATP9A
Non-integrin membrane-ECM Interactions	1/59	0.05740168618341881	0.12958865517165763	0	0	18.078039927404717	51.661282065881295	PRKCA
Ca2+ Pathway	1/63	0.0611778250716139	0.1360521781443354	0	0	16.908319185059423	47.24134484792992	PRKCA
Complex I Biogenesis	1/68	0.06587779162640937	0.1443498669461029	0	0	15.642576590730558	42.547087131862945	NDUFB5
Diseases Associated With O-glycosylation of Proteins	1/71	0.06868703331046773	0.1480669667998192	0	0	14.969924812030076	40.09237540517205	NOTCH4
Signaling by NOTCH4	1/72	0.0696216623496152	0.1480669667998192	0	0	14.758339510748703	39.326245034816516	NOTCH4
Pre-NOTCH Transcription and Translation	1/73	0.07055540028716217	0.1480669667998192	0	0	14.552631578947368	38.5842224505161	NOTCH4
Regulation of mRNA Stability by Proteins That Bind AU-rich Elements	1/76	0.0733512756104792	0.15109125979816568	0	0	13.968421052631578	36.49243551909278	PRKCA
Regulation of Insulin Secretion	1/78	0.07521075177068094	0.15109125979816568	0	0	13.604237867395762	35.20043603994484	PRKCA
PCP CE Pathway	1/79	0.0761391600452789	0.15109125979816568	0	0	13.429149797570851	34.58264664318254	PRKCA
G Alpha (12 13) Signalling Events	1/80	0.07706668285007108	0.15109125979816568	0	0	13.258494337108594	33.982637627801715	BTK
ER-Phagosome Pathway	1/80	0.07706668285007108	0.15109125979816568	0	0	13.258494337108594	33.982637627801715	BTK
Pre-NOTCH Expression and Processing	1/89	0.08537467354402693	0.16484249282370103	0	0	11.897129186602871	29.27533461302574	NOTCH4
Opioid Signalling	1/90	0.0862933855050247	0.16484249282370103	0	0	11.762862211709049	28.81903981668561	PRKCA
Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers	1/95	0.0908738104379916	0.17095379783870648	0	0	11.13437849944009	26.70339549535462	BTK
Antigen processing-Cross Presentation	1/96	0.09178727400735918	0.17095379783870648	0	0	11.016620498614959	26.310792233027552	BTK
VEGFA-VEGFR2 Pathway	1/99	0.09452243603531585	0.17175418255197636	0	0	10.677765843179378	25.18797462704863	PRKCA
Visual Phototransduction	1/99	0.09452243603531585	0.17175418255197636	0	0	10.677765843179378	25.18797462704863	PRKCA
Integration of Energy Metabolism	1/108	0.10268104833642752	0.1821366214539012	0	0	9.775209050664044	22.249624223401657	PRKCA
Signaling by VEGF	1/108	0.10268104833642752	0.1821366214539012	0	0	9.775209050664044	22.249624223401657	PRKCA
FCERI Mediated Ca+2 Mobilization	1/110	0.10448456515662936	0.18258569444697015	0	0	9.594881699661999	21.67211204877382	BTK
Mitotic Prophase	1/111	0.10538503169422438	0.18258569444697015	0	0	9.507177033492823	21.392428630708658	PRKCA
MyD88 MAL(TIRAP) Cascade Initiated on Plasma Membrane	1/115	0.10897830352246207	0.18283487926569936	0	0	9.171745152354571	20.330149616722807	BTK
Toll Like Receptor TLR6 TLR2 Cascade	1/115	0.10897830352246207	0.18283487926569936	0	0	9.171745152354571	20.330149616722807	BTK
Signal Transduction	5/2613	0.1099350332138044	0.18283487926569936	0	0	2.220347648261759	4.902229403158205	AMHR2;NOTCH4;BTK;PRKCA;PDK1
Toll Like Receptor 2 (TLR2) Cascade	1/118	0.11166425512200431	0.18283487926569936	0	0	8.935222672064777	19.588319031503886	BTK
Toll Like Receptor TLR1 TLR2 Cascade	1/118	0.11166425512200431	0.18283487926569936	0	0	8.935222672064777	19.588319031503886	BTK
Beta-catenin Independent WNT Signaling	1/134	0.12585991243120478	0.20164652636827432	0	0	7.853977047882865	16.27804127663435	PRKCA
Gene Silencing by RNA	1/134	0.12585991243120478	0.20164652636827432	0	0	7.853977047882865	16.27804127663435	PIWIL1
GPCR Downstream Signalling	2/633	0.1307696343427839	0.20335457626913123	0	0	3.40711392850854	6.931153261821374	BTK;PRKCA
FCGR3A-mediated Phagocytosis	1/142	0.1328766671456546	0.20335457626913123	0	0	7.405375139977604	14.946519655220376	BTK
Leishmania Phagocytosis	1/142	0.1328766671456546	0.20335457626913123	0	0	7.405375139977604	14.946519655220376	BTK
Parasite Infection	1/142	0.1328766671456546	0.20335457626913123	0	0	7.405375139977604	14.946519655220376	BTK
Regulation of Actin Dynamics for Phagocytic Cup Formation	1/143	0.1337499897609051	0.20335457626913123	0	0	7.3528539659006675	14.792346387731271	BTK
Diseases of Glycosylation	1/146	0.13636494690643922	0.20523613221272163	0	0	7.199637023593467	14.344704787788979	NOTCH4
Toll Like Receptor 4 (TLR4) Cascade	1/148	0.13810408360894222	0.2057750845773239	0	0	7.100966702470462	14.058122135286423	BTK
Signaling by Rho GTPases	2/672	0.1440795751192928	0.21255303656212504	0	0	3.2023217247097846	6.2041445716684835	BTK;PRKCA
Respiratory Electron Transport	1/158	0.1467499768501904	0.21311996581441536	0	0	6.645323499832384	12.752541783227706	NDUFB5
Signaling by TGFB Family Members	1/161	0.14932763619504633	0.21311996581441536	0	0	6.519736842105263	12.398012987267279	AMHR2
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	2/688	0.14962706058785913	0.21311996581441536	0	0	3.125040492387431	5.93635611820885	BTK;PRKCA
Signaling by the B Cell Receptor (BCR)	1/162	0.1501852108088162	0.21311996581441536	0	0	6.478914677999346	12.283283683900576	BTK
Potential Therapeutics for SARS	1/164	0.15189789671103845	0.21351685481079935	0	0	6.398773006134969	12.058786655225672	BTK
Fcgamma Receptor (FCGR) Dependent Phagocytosis	1/168	0.15531343623042712	0.21511665151088022	0	0	6.244248345414435	11.628726352614157	BTK
Signaling by GPCR	2/706	0.15592347894748365	0.21511665151088022	0	0	3.0422979797979797	5.653775873871765	BTK;PRKCA
Toll-like Receptor Cascades	1/174	0.16041225374071133	0.2192791358473944	0	0	6.02585944630362	11.027372148017925	BTK
Transport of Small Molecules	2/724	0.162275013623815	0.2198088820904403	0	0	2.963681132656202	5.389343796277971	YME1L1;ATP9A
Ion Channel Transport	1/184	0.1688453657431134	0.22664828374526033	0	0	5.693701466781708	10.127796623203373	ATP9A
